movie_name,youtube_video_id,title,published_at,views,likes,comments,release_date,tmdb_rating,tmdb_overview,genres,like_view_ratio,comment_view_ratio,engagement_score,days_before_release,like_view_pct,comment_view_pct,engagement_pct,engagement_level,early_buzz,Box Office Collection,Budget (Cost+ P&A),Verdict
Thamma,Mod_oXpftJA,"Thamma Official Trailer | Ayushmann, Rashmika, Paresh, Nawazuddin | In Cinemas This Diwali- 21st Oct",26-09-2025 12:49,92812577,684721,43982,21-10-2025,7.071,"Two destined lovers battle supernatural forces, family ties, and nature itself to defend their forbidden romance in a mystical world where ancient powers and prophecies threaten to keep them apart.","Comedy, Horror",0.0074,0.0005,0.0079,24,0.74,0.05,0.79,low,0,99 Crore,140 Crore,
Ek Deewane Ki Deewaniyat,y9jtbWNAvXc,EK DEEWANE KI DEEWANIYAT - Trailer | Harshvardhan & Sonam | Milap | Anshul | In Cinemas 21st October,08-10-2025 05:30,48959042,431784,55293,21-10-2025,10,"A musical love story with dark shades of love exploring obsession, heartbreak, and deep emotional conflict.","Romance, Drama, Thriller",0.0088,0.0011,0.0099,12,0.88,0.11,0.99,low,0,54 Crore,40 Crore,
Kantara Chapter 1 ( Hindi),3cYzqzmsWpA,"Kantara: A Legend – Chapter 1 - Exclusive Trailer | Rishabh Shetty, Gulshan Devaiah, Rukmini",29-10-2025 12:30,206353,6313,436,02-10-2025,,,Unknown,0.0306,0.0021,0.0327,16,3.06,0.21,3.27,medium,1,179.25 Crore,125 Crore,Super Hit
Sunny Sanskari Ki Tulsi Kumari,9FUd-D4FWjw,"Sunny Sanskari Ki Tulsi Kumari - OFFICIAL TRAILER | Varun, Janhvi, Sanya, Rohit | Shashank K | Oct 2",15-09-2025 07:30,34580652,312650,16437,02-10-2025,7.75,"Two former lovers in Delhi try to rekindle old flames, leading to amusing mix-ups and deceptions. As chaos unfolds, a new unexpected romance blooms. Who will find their happy ending amid the confusion?","Romance, Comedy",0.009,0.0005,0.0095,16,0.9,0.05,0.95,low,0,58.75 Crore,80 Crore,Flop
Jolly LLB 3,eSgJ8PfSUSk,Jolly LLB 3 | Trailer | Akshay Kumar | Arshad Warsi | Subhash Kapoor | In Cinemas 19th September,10-09-2025 05:45,29904603,263586,8598,19-09-2025,8.25,"The third part of the Jolly LLB trilogy brings back Jagdish Tyagi and Jagdishwar Mishra for the biggest face-off as penurious widow Janki Devi Solanki awaits justice against business tycoon Haribhai Khaitan in a satire on the judiciary, justice and the gulf between the privileged and the people on the other side of the spectrum.","Drama, Comedy",0.0088,0.0003,0.0091,8,0.88,0.03,0.91,low,0,106.5 Crore,120 Crore,Average
Homebound,WojNkusud84,HOMEBOUND - OFFICIAL TRAILER | Ishaan K | Vishal J | Janhvi K | Neeraj G | Sept 26,17-09-2025 05:30,11631895,83867,4362,01-04-2022,4.108,A young woman arrives at the home of her new husband's estranged family to find the children behaving in increasingly unnerving ways.,"Mystery, Thriller, Drama, Horror",0.0072,0.0004,0.0076,24,0.72,0.04,0.76,low,0,2.1 Crore,25 Crore,Flop
One Battle After Another,feOQFKv2Lw4,One Battle After Another  - Official Trailer - Warner Bros. UK & Ireland,27-03-2025 16:00,5072556,37590,3666,23-09-2025,7.7,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Action, Thriller, Crime",0.0074,0.0007,0.0081,179,0.74,0.07,0.81,low,0,5.25 Crore,1240 Crore,Flop
They Call Him OG ( Hindi),SuoXS9NwjYk,They Call Him OG Hindi Trailer - Pawan Kalyan | Emraan Hashmi | Sujeeth | Thaman S | DVV Danayya |,22-09-2025 16:52,6780041,190402,6745,25-09-2025,,,Unknown,0.0281,0.001,0.0291,16,2.81,0.1,2.91,medium,1,3.6 Crore,250 Crore,Flop
Mirai ( Hindi),CI-jpAjoakk,"Mirai Hindi Teaser | Teja Sajja | Manchu Manoj | Karthik Gattamneni | In Cinemas 5th September, 2025",06-06-2025 06:30,995658,17907,385,12-09-2025,,,Unknown,0.018,0.0004,0.0184,16,1.8,0.04,1.84,low,1,15.75 Crore,74 Crore,Flop
Demon Slayer: Infinity Castle,x7uLutVRBfI,Demon Slayer: Kimetsu no Yaiba Infinity Castle | MAIN TRAILER,28-06-2025 14:01,11086286,263502,9791,18-07-2025,7.81,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","Animation, Action, Fantasy, Thriller",0.0238,0.0009,0.0247,19,2.38,0.09,2.47,medium,1,62.15 Crore,350 Crore,Hit
